,09-Aug,08-Aug,07-Aug,06-Aug,05-Aug,04-Aug,03-Aug,02-Aug,01-Aug,31-Jul,30-Jul,29-Jul,28-Jul,27-Jul,26-Jul,25-Jul,24-Jul,23-Jul,22-Jul,21-Jul,20-Jul,19-Jul,18-Jul,17-Jul,16-Jul,15-Jul,14-Jul,13-Jul,12-Jul,11-Jul,10-Jul,09-Jul,08-Jul,07-Jul,06-Jul,05-Jul,04-Jul,03-Jul,02-Jul,01-Jul,30-Jun,29-Jun,28-Jun,27-Jun,26-Jun,25-Jun,24-Jun,23-Jun,22-Jun,21-Jun,20-Jun,19-Jun,18-Jun
worldseriesofpokerwsop,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fishdom,2,2,1,3,3,0,2,1,1,3,0,1,0,0,3,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,4,1,1,0,0,1,4,4,6,5,5,3,1
invasion,3,7,5,3,4,10,12,8,6,15,8,13,24,48,14,27,111,145,48,12,9,7,2,3,4,10,38,19,10,14,12,6,0,0,0,44,10,3,21,26,27,11,21,13,19,10,53,9,16,18,19,3,19
myvegasslots,0,0,0,0,0,2,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
wizardofozfreeslotscasino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
konamislots,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,0,0,5,2,9,1,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
empire,45,35,54,30,63,60,121,50,70,41,44,75,53,69,65,46,33,49,68,57,72,65,71,72,83,114,96,98,82,82,45,0,0,0,30,143,117,145,129,152,118,98,116,99,127,130,159,160,195,188,207,161,105
marvelfuturefight,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
clashoflords2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knights&dragons,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,3,0
marvelpuzzlequestmatch3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
covetfashion,4,6,4,2,3,4,2,2,4,2,4,1,3,3,2,4,3,3,6,4,1,3,4,3,4,5,2,4,6,4,3,0,0,0,0,6,4,2,5,4,2,4,5,4,4,3,4,1,1,4,4,5,5
thesimsfreeplay,1,1,4,0,2,3,2,2,2,1,5,2,3,2,2,1,1,1,1,3,5,2,3,2,2,4,3,3,3,2,3,3,0,0,0,2,2,2,2,2,4,2,4,3,2,3,2,3,8,2,2,3,4
8ballpool,6,5,6,5,9,6,4,6,6,7,6,5,7,5,6,5,5,12,4,6,3,9,3,4,6,7,5,5,7,8,4,4,0,0,0,9,12,6,10,4,6,9,11,10,7,8,11,6,8,11,9,8,7
bubblewitch2saga,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
zyngapokertexasholdem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dominations,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
goldfishslots!fruitmachines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
familyguythequestforstuff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leagueofangels-fireraiders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
transformers,4,2,1,2,2,6,3,8,6,4,3,1,2,5,2,3,0,3,4,3,1,3,3,4,1,4,5,1,3,2,0,0,0,0,0,1,2,2,0,7,2,2,3,3,0,6,13,6,3,4,2,4,2
bravefrontier,1,2,0,1,0,2,2,0,0,0,3,0,2,0,0,1,0,0,2,2,2,1,1,1,1,0,1,1,1,0,2,0,0,0,0,4,6,3,1,1,2,3,1,0,1,0,0,0,0,0,0,0,0
fantasica-towerdefensetcg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pandapop,0,1,2,1,4,0,3,1,0,1,1,0,1,1,2,2,2,0,1,0,1,2,1,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,1,1,2,6,4,1,2
farmville2,1,4,0,0,0,2,1,2,9,0,0,0,0,0,2,2,0,1,0,0,2,1,1,0,0,2,1,4,18,1,0,0,0,0,0,0,1,1,0,0,3,9,3,1,3,1,2,6,0,2,2,0,2
warandorder,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
bingobash,19,33,50,40,33,29,36,38,60,103,152,53,28,49,22,34,29,55,62,39,44,35,48,37,42,50,41,75,55,51,63,28,0,0,0,88,98,142,162,94,56,72,94,69,77,54,73,136,67,101,152,215,458
blossomblastsaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
petrescuesaga,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
tapsportsbaseball2016,1,1,1,1,1,1,1,2,1,1,1,2,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,0,0,0,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1
yahtzeewithbuddies,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,0,1,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,1,1,0,0
soulhunters,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
cookingfever,4,5,1,4,3,2,3,7,3,3,3,4,5,5,3,4,5,4,5,6,5,4,4,4,5,3,5,4,6,7,5,3,0,0,0,37,18,12,13,6,19,15,12,5,11,10,12,47,30,9,12,11,8
criminalcase,3,1,2,1,1,4,3,7,2,1,1,2,5,12,2,3,6,4,3,11,4,3,7,3,1,0,2,2,3,3,4,4,0,0,0,5,3,2,5,4,3,4,6,14,6,5,5,14,6,4,6,3,5
dragoncity,1,2,1,0,2,0,0,0,0,1,2,0,1,3,2,0,0,0,2,1,1,0,1,0,0,2,1,0,1,1,3,0,0,0,0,1,0,0,4,1,4,1,1,2,4,5,2,3,0,3,0,1,1
minecraft,62,82,93,74,119,90,95,148,96,72,112,99,88,66,99,118,92,124,102,99,98,98,97,87,96,121,102,122,96,129,145,63,0,0,13,112,135,159,93,89,89,97,102,112,96,139,129,94,105,121,122,80,167
ageofwarringempire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
episode+meangirls,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,4,0,0,1,0,0,1,0,0,1,0,0,0,0,0
gameofdice,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,1,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,2,0,0,3,0
hititrich!freecasinoslots,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1
taichipanda,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1,0,0,0,0,1,0
megapolis,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
forgeofempires,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
starwarsforcecollection,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
soccerspirits,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walkingwarrobots,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,1,1,1,0,0,1,1
familyfarmseaside,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thewalkingdeadnomansland,0,0,0,0,0,1,1,0,0,0,0,0,2,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
heroestactics,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,2,0,0,0,0,1,0,3,0,0,0
angrybirds2,36,31,44,40,52,48,79,39,53,35,36,76,46,71,54,60,56,65,41,31,13,14,16,19,15,13,14,14,16,12,13,8,0,0,0,14,17,18,12,16,17,18,16,18,20,16,13,18,17,14,17,15,17
kimkardashian,361,327,243,279,278,302,314,337,234,298,258,334,332,326,328,312,286,293,343,393,345,349,684,572,507,506,554,549,638,620,488,238,0,0,0,553,514,509,635,561,495,479,523,515,540,511,490,443,509,479,474,452,418
fairwaysolitaireblast,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
paradisebay,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0
girlsxbattle,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
dragonsofatlantis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
stormfall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
deckheroes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wwesupercard,0,1,0,0,0,0,1,0,0,0,3,1,0,1,0,0,0,0,1,0,0,2,0,2,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,0,0,0
finalfantasyrecordkeeper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
heroescharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wardragons,2,0,2,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,3,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0
gsncasino,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
downtownmafia,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forkakao,0,0,0,2,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,2,0,0,2,0,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0
unisonleague,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1
