,09-Aug,08-Aug,07-Aug,06-Aug,05-Aug,04-Aug,03-Aug,02-Aug,01-Aug,31-Jul,30-Jul,29-Jul,28-Jul,27-Jul,26-Jul,25-Jul,24-Jul,23-Jul,22-Jul,21-Jul,20-Jul,19-Jul,18-Jul,17-Jul,16-Jul,15-Jul,14-Jul,13-Jul,12-Jul,11-Jul,10-Jul,09-Jul,08-Jul,07-Jul,06-Jul,05-Jul,04-Jul,03-Jul,02-Jul,01-Jul,30-Jun,29-Jun,28-Jun,27-Jun,26-Jun,25-Jun,24-Jun,23-Jun,22-Jun,21-Jun,20-Jun,19-Jun,18-Jun
superdancer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heroesofdragonage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
growtopia,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
warhammer40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,1,0
princessbrideslotscasino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
britneyspears,5,8,7,12,17,49,8,4,6,4,6,11,5,11,7,7,5,6,11,15,9,35,45,30,70,211,5,4,5,4,4,1,0,0,0,10,10,1,12,13,8,3,10,8,7,8,13,9,12,10,14,9,9
doublehitcasino,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arkofwar,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
heartsmedicinetimetoheal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
thegreedycave,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,41,4,2,2,2,3,3,3,3,3,3,3,4,3,2,0,0,1,4,3,3,3,7,3,4,2,3,0,0,5,101,36,30,17,24,7
endlessfrontier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dicewithbuddiesfree,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1
realvegasslots,0,1,0,4,10,1,1,2,6,4,0,0,0,1,1,2,7,0,1,1,0,0,12,1,0,1,6,5,1,1,1,1,0,0,0,3,1,5,0,0,0,0,8,4,0,3,0,0,2,0,3,1,0
lifeline,6,5,6,3,13,7,8,1,1,7,6,2,5,3,3,4,1,4,5,4,4,1,6,3,2,5,6,2,2,7,5,3,0,0,2,6,12,15,21,43,10,9,6,7,4,2,4,7,2,4,7,4,9
cluebingo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
yu-gi-oh!duelgeneration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mageandminions,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kingdomsatwar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bravecross,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
frozenfrenzymaniamatch3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
grandsphere,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hockeystars,0,1,9,3,11,3,16,0,2,3,0,6,0,4,0,0,3,0,0,0,0,3,1,11,0,1,0,0,1,0,0,0,0,0,0,0,0,1,2,3,1,7,1,0,0,0,0,1,0,0,0,0,3
marvel,38,52,60,36,34,48,60,60,59,44,44,40,59,84,72,81,107,75,91,80,128,100,39,76,54,75,80,74,73,46,62,31,0,0,2,49,57,54,38,45,36,51,55,66,60,63,65,67,51,52,50,49,45
bestsocialslots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mylittlepony,2,4,4,6,3,8,3,2,4,4,3,2,1,5,4,6,4,2,1,4,9,13,5,6,7,4,1,7,11,4,11,6,0,0,1,8,10,7,5,11,8,7,4,5,3,3,6,2,3,9,2,2,3
threekingscharge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taptitans,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
oldvegasslots,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,11,2,1,1,0,0,0,34,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2
sevenguardians,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
trainstation,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
pianotiles2,2,0,1,1,0,2,2,0,0,5,2,1,1,2,2,2,0,1,1,1,1,1,1,3,0,1,0,2,2,3,0,0,0,0,0,0,1,2,1,0,0,0,0,1,1,1,1,2,1,0,0,0,1
mmxracing,6,1,2,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,14,0,0,2,7,0,0,1,1,1,1,0,0,0,0,0,0,3,1,2,0,1,4,1,0,0,0,1,0,2,0,0,1,0,0
littleempire,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
guardianhunter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jellysplash,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,3,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1
samurailoveballad,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0
wonder5masters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
tomeofthesun,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
linerangers,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
texasholdempokerdeluxe,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,1,2,0,1,0,1,0,1
dragonheroes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ageofwushudynasty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0
magicjigsawpuzzles,16,11,21,8,12,7,14,8,13,13,11,11,10,11,11,10,13,28,12,20,7,9,11,8,10,12,15,12,8,18,19,4,0,0,0,16,13,38,7,15,10,18,14,9,15,15,9,17,9,6,16,9,22
arcanelegendsmmo-actionrpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trafficrider,0,4,2,1,2,2,3,0,1,3,5,2,1,2,0,1,2,3,0,3,5,4,2,3,3,7,27,3,1,4,5,0,0,0,0,6,10,5,3,4,8,8,9,8,10,10,13,8,15,13,1,0,0
agar.io,0,0,1,0,1,1,1,0,0,2,1,0,1,1,1,1,38,1,14,38,0,0,0,0,1,0,0,0,1,5,4,1,0,0,0,0,1,0,2,1,0,2,14,0,1,0,0,2,6,1,2,2,2
maiden,9,4,2,11,2,11,7,12,8,11,5,25,5,9,6,5,8,9,3,2,0,3,5,12,2,9,30,15,24,33,10,7,0,0,2,51,3,7,2,4,7,7,8,2,4,9,3,6,0,4,5,7,4
landlord,16,8,4,9,75,30,2,5,2,2,2,2,5,5,19,3,0,4,19,6,1,4,2,2,2,1,0,4,2,10,0,0,0,0,0,2,7,1,3,1,2,5,6,4,5,1,1,5,1,3,3,0,2
grandchasem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unkilled,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
moderncombat5,1,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0
riskbigscreenedition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bloodline,0,1,1,0,1,0,2,0,1,0,1,4,2,0,2,0,2,3,8,3,1,0,1,2,1,0,2,3,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,3,1,0,2,0,0,0,1,0
rpgtoramonline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spiritguardian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bakeryblitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2
monstersweeperz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
horsehavenworldadventures,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oz+shallwedate,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
tetrisblitz,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,112,1,0,0,0,0,0,0,0,0,0,0
destinyninja2shallwedate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ageoflords,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
tyrantunleashed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fifa16,4,4,1,3,5,2,2,3,4,3,1,5,3,2,4,1,4,1,2,1,3,2,4,5,5,4,13,4,4,14,4,4,0,0,0,8,9,13,3,4,14,2,9,7,5,1,9,13,4,3,12,6,4
angrybirds,47,50,57,49,62,55,87,53,63,49,48,94,63,86,65,89,132,127,153,286,33,35,33,41,33,49,48,46,63,47,42,23,0,0,8,48,42,40,43,43,41,49,67,48,46,50,67,31,33,27,31,27,32
headsup!,25,25,28,23,31,42,40,36,33,35,25,30,29,28,48,53,22,27,21,33,29,44,37,31,37,55,49,46,50,66,28,16,0,0,6,29,27,17,20,38,38,36,92,39,16,25,44,60,48,26,18,29,27
animaljam,2,4,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
hollywooduwithbethanymota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soccerstars,4,2,3,3,2,3,2,2,2,1,3,4,3,2,2,2,3,3,2,4,3,2,4,3,9,3,3,6,3,3,4,3,0,0,0,12,5,6,5,5,6,9,5,6,6,9,7,7,6,6,5,5,7
gsngrandcasino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lovetangleshallwedate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monsterbusters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
armyofheroes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kingsroad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
casinofrenzy,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
teenpattigold,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
triviacrack,1,1,1,7,2,2,1,2,5,0,3,3,1,2,1,1,4,2,3,2,1,1,6,1,1,2,3,5,13,2,3,6,0,0,1,4,1,3,2,3,3,2,6,2,3,1,2,3,3,4,4,2,2
spinitrich!casinoslots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0
mytalkingangela,0,0,0,0,0,1,1,0,0,2,0,1,3,0,0,0,1,0,1,0,2,3,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,2,0,2,0,1,2,3,2,0,1,2,2,1,0
monsterwarlord,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
slots777casinobydragonplay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
monopolyslots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
spider-manunlimited,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fabulous,24,31,20,21,38,24,27,30,27,23,21,22,26,26,26,23,33,33,34,47,30,21,50,20,25,30,23,29,29,15,22,11,0,0,4,35,26,21,25,20,32,22,21,39,24,29,23,20,20,32,45,18,24
fashionempire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,2
kingdomsofcamelot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
futurama,0,1,0,0,1,0,1,1,0,1,2,0,1,0,0,0,1,1,1,1,4,6,2,0,0,5,0,0,1,0,2,1,0,0,0,1,1,0,1,1,0,0,1,3,0,0,0,0,0,1,2,4,2
trueskate,7,7,8,8,11,10,12,8,14,11,13,9,14,10,9,6,7,7,10,10,8,8,9,9,8,5,7,13,9,12,10,6,0,0,0,7,5,4,7,28,82,8,8,8,9,9,8,6,10,8,10,9,9
bingocitylive75+freeslots,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9inningsmanager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lordofthedragons,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1
catan,1,1,1,1,1,0,0,1,1,1,1,2,1,1,1,0,0,0,2,2,4,0,2,0,0,0,0,1,2,1,3,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,1
alphabettysaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
petsunleashed,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,1,1,0,0,0,1,29,2,1,2,3,5,3,1,1,1,5,4,1,1,3,0,0,0
tankcommander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
galaxyatwaronline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
airportcity,3,4,7,5,1,3,4,1,1,3,1,2,4,5,2,7,5,6,11,8,4,2,2,1,0,1,4,1,3,1,1,3,0,0,0,0,1,2,0,1,4,1,5,2,2,1,2,4,3,3,3,1,2
midnightcinderellaotome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pocketmaplestory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
liveholdemproonlinepoker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
angrybirdsfight!rpgpuzzle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skygarden,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
grandtheftauto,24,27,29,22,21,28,32,18,27,26,27,31,29,21,28,28,21,29,23,26,27,44,60,36,35,56,39,30,38,35,26,13,0,0,4,34,23,27,28,44,45,45,42,43,49,43,47,54,52,47,44,44,50
contractkiller,1,3,3,3,3,3,2,3,3,3,3,3,1,1,1,1,2,1,0,1,1,2,2,3,3,5,5,2,4,4,2,0,0,0,0,2,1,1,2,2,3,2,2,11,11,3,2,2,3,2,1,4,4
sniperfury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0
terrabattle,0,0,1,2,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
ginrummyplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
monsterbusters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
immortaldreamx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
order&chaosonline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
onlinerpgavabel[action],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
deadtarget,18,21,31,25,12,26,27,36,25,21,38,29,21,20,31,30,35,39,43,13,40,35,33,30,37,39,57,34,55,46,28,38,0,0,3,3,3,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
medalmasters,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pokercanada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3dmmocelticheroes,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plantsvs.zombiesheroes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
scrubbydubbysaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forlive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
flowfree,8,15,9,5,8,13,16,10,7,7,6,20,25,13,8,9,3,8,9,13,22,8,6,2,5,6,4,3,4,8,8,0,0,0,0,6,9,3,2,8,3,3,8,20,2,4,5,11,5,7,9,25,9
tapsportsbaseball2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
